name,pin
"gripperSensorOpen","DI3"
"gripperSensorClosed","DI1"
"roboDoorSensorUp","DI2"
"roboDoorSensorDown","DI4"
"opDoorSensor","DI7"
"hopperLidSensorUp","DI6"
"hopperLidSensorDown","DI5"
"hopperPressureSensor","DI8"
"gateSensor","DI9"
"emergency","DI10"
