x,y,depth_mm,comment_location
1457,1118,511.8,"0"
1392,1067,592.0,"1"
1272,1121,511.3,"2"
1218,1082,535.7,"3"
1079,1106,510.6,"4"
1080,1013,629.9,"5"
884,1104,512.5,"6"
907,1015,632.2,"7"
698,1108,516.9,"8"
768,1077,621.8,"9"
504,1109,518.1,"10"
596,1088,621.0,"11"












